algorithm_name,env_n,size,best_solution,H,states,time
random,5,4,"[2, 0, 3, 1]",0,146,0.001774
random,6,4,"[1, 3, 0, 2]",0,414,0.005021
random,7,4,"[1, 3, 0, 2]",0,182,0.002463
random,8,4,"[1, 3, 0, 2]",0,120,0.001456
random,9,4,"[1, 3, 0, 2]",0,155,0.001851
random,10,4,"[1, 3, 0, 2]",0,213,0.002559
random,11,4,"[1, 3, 0, 2]",0,151,0.001858
random,12,4,"[1, 3, 0, 2]",0,99,0.001203
random,13,4,"[2, 0, 3, 1]",0,139,0.001675
random,14,4,"[1, 3, 0, 2]",0,63,0.000755
random,15,4,"[2, 0, 3, 1]",0,178,0.002091
random,16,4,"[1, 3, 0, 2]",0,91,0.001081
random,17,4,"[1, 3, 0, 2]",0,159,0.001915
random,18,4,"[1, 3, 0, 2]",0,607,0.009152
random,19,4,"[1, 3, 0, 2]",0,61,0.000733
random,20,4,"[1, 3, 0, 2]",0,133,0.001546
random,21,4,"[1, 3, 0, 2]",0,29,0.000373
random,22,4,"[1, 3, 0, 2]",0,9,0.000125
random,23,4,"[2, 0, 3, 1]",0,43,0.000479
random,24,4,"[2, 0, 3, 1]",0,584,0.006593
random,25,4,"[1, 3, 0, 2]",0,425,0.004663
random,26,4,"[1, 3, 0, 2]",0,47,0.000526
random,27,4,"[1, 3, 0, 2]",0,16,0.000189
random,28,4,"[1, 3, 0, 2]",0,43,0.000486
random,29,4,"[2, 0, 3, 1]",0,11,0.000135
random,30,4,"[2, 0, 3, 1]",0,54,0.000594
random,1,8,"[6, 2, 5, 1, 4, 0, 3, 3]",1,5000,0.085681
random,2,8,"[0, 7, 4, 2, 0, 6, 3, 5]",1,5000,0.086333
random,3,8,"[6, 3, 5, 2, 5, 0, 4, 1]",2,5000,0.088546
random,4,8,"[2, 7, 5, 3, 1, 0, 4, 6]",1,5000,0.087167
random,5,8,"[7, 5, 3, 0, 4, 7, 2, 6]",2,5000,0.086323
random,6,8,"[4, 6, 0, 5, 7, 1, 6, 3]",2,5000,0.087691
random,7,8,"[2, 6, 1, 4, 7, 0, 3, 5]",1,5000,0.085657
random,8,8,"[3, 1, 4, 2, 0, 5, 7, 1]",2,5000,0.085575
random,9,8,"[7, 5, 3, 6, 0, 7, 4, 4]",2,5000,0.111781
random,10,8,"[7, 5, 0, 5, 1, 4, 6, 3]",1,5000,0.101213
random,11,8,"[6, 1, 3, 0, 6, 4, 2, 5]",1,5000,0.091531
random,12,8,"[2, 5, 3, 6, 0, 2, 4, 7]",1,5000,0.085078
random,13,8,"[3, 6, 2, 1, 5, 7, 2, 4]",2,5000,0.084914
random,14,8,"[4, 2, 0, 3, 1, 7, 5, 2]",1,5000,0.085700
random,15,8,"[6, 1, 7, 1, 3, 0, 2, 5]",2,5000,0.085545
random,16,8,"[3, 0, 6, 4, 1, 7, 0, 2]",1,5000,0.086895
random,17,8,"[5, 1, 6, 4, 0, 7, 3, 2]",1,5000,0.085511
random,18,8,"[7, 0, 2, 5, 5, 1, 4, 4]",2,5000,0.096406
random,19,8,"[6, 2, 0, 5, 1, 4, 1, 7]",1,5000,0.084799
random,20,8,"[2, 6, 1, 7, 4, 3, 0, 5]",2,5000,0.085941
random,21,8,"[5, 2, 0, 3, 6, 7, 1, 4]",1,5000,0.085581
random,22,8,"[2, 5, 3, 6, 0, 6, 4, 1]",2,5000,0.085598
random,23,8,"[6, 0, 2, 5, 1, 4, 7, 5]",2,5000,0.085802
random,24,8,"[1, 5, 2, 0, 7, 3, 4, 6]",1,5000,0.084908
random,25,8,"[5, 5, 0, 6, 3, 6, 2, 7]",2,5000,0.086694
random,26,8,"[1, 5, 0, 2, 7, 4, 6, 3]",1,5000,0.090233
random,27,8,"[5, 7, 5, 0, 2, 4, 6, 3]",1,5000,0.085078
random,28,8,"[0, 3, 6, 2, 7, 1, 4, 0]",1,5000,0.085023
random,29,8,"[6, 3, 6, 0, 7, 4, 1, 5]",1,5000,0.086099
random,30,8,"[1, 6, 2, 0, 7, 4, 0, 3]",1,5000,0.086330
random,1,10,"[5, 7, 1, 3, 0, 9, 0, 8, 1, 4]",3,5000,0.099196
random,2,10,"[4, 2, 8, 3, 9, 6, 5, 2, 0, 7]",3,5000,0.099342
random,3,10,"[1, 8, 2, 7, 4, 2, 0, 6, 3, 5]",2,5000,0.108135
random,4,10,"[6, 7, 4, 1, 8, 0, 5, 3, 2, 9]",3,5000,0.130222
random,5,10,"[8, 4, 0, 0, 9, 5, 1, 2, 7, 3]",2,5000,0.128854
random,6,10,"[1, 8, 2, 7, 3, 0, 9, 1, 6, 2]",2,5000,0.123961
random,7,10,"[2, 6, 1, 9, 4, 7, 0, 8, 3, 5]",2,5000,0.135822
random,8,10,"[2, 6, 8, 3, 7, 9, 1, 8, 5, 3]",3,5000,0.132456
random,9,10,"[8, 8, 2, 9, 6, 3, 7, 0, 7, 5]",3,5000,0.106695
random,10,10,"[7, 4, 1, 9, 2, 6, 7, 3, 5, 0]",3,5000,0.113198
random,11,10,"[9, 4, 0, 5, 3, 7, 7, 3, 8, 2]",3,5000,0.107795
random,12,10,"[9, 9, 2, 0, 8, 6, 4, 1, 7, 5]",2,5000,0.123025
random,13,10,"[6, 9, 5, 2, 7, 3, 8, 8, 1, 4]",2,5000,0.099967
random,14,10,"[4, 8, 0, 3, 0, 7, 5, 1, 9, 6]",2,5000,0.099618
random,15,10,"[9, 2, 6, 1, 0, 8, 6, 4, 7, 3]",3,5000,0.103159
random,16,10,"[4, 9, 1, 5, 2, 0, 6, 8, 1, 3]",2,5000,0.118353
random,17,10,"[5, 9, 1, 4, 8, 8, 3, 9, 6, 0]",3,5000,0.113955
random,18,10,"[3, 0, 6, 9, 2, 8, 1, 4, 2, 5]",2,5000,0.105611
random,19,10,"[1, 4, 0, 7, 9, 2, 6, 1, 3, 0]",2,5000,0.103708
random,20,10,"[8, 5, 7, 1, 0, 2, 6, 9, 2, 4]",2,5000,0.176845
random,21,10,"[8, 6, 1, 3, 5, 9, 4, 0, 5, 2]",3,5000,0.161663
random,22,10,"[8, 1, 3, 6, 0, 7, 4, 2, 7, 5]",3,5000,0.129723
random,23,10,"[6, 8, 1, 2, 0, 7, 4, 1, 3, 9]",2,5000,0.134651
random,24,10,"[8, 6, 6, 0, 2, 4, 5, 7, 9, 3]",3,5000,0.103219
random,25,10,"[5, 1, 1, 4, 0, 8, 0, 9, 6, 2]",2,5000,0.106199
random,26,10,"[5, 6, 4, 7, 0, 3, 5, 2, 9, 3]",3,5000,0.113339
random,27,10,"[3, 5, 9, 7, 9, 0, 2, 8, 6, 0]",3,5000,0.118598
random,28,10,"[5, 7, 1, 8, 0, 8, 4, 2, 9, 3]",2,5000,0.172318
random,29,10,"[2, 6, 1, 9, 5, 8, 0, 7, 3, 5]",2,5000,0.139554
random,30,10,"[1, 7, 4, 7, 9, 0, 3, 6, 8, 3]",3,5000,0.197087
SA,1,4,"[1, 3, 0, 2]",0,12,0.000404
SA,2,4,"[1, 3, 0, 2]",0,84,0.002091
SA,3,4,"[2, 0, 3, 1]",0,56,0.000666
SA,4,4,"[2, 0, 3, 1]",0,55,0.000604
SA,5,4,"[2, 0, 3, 1]",0,23,0.000299
SA,6,4,"[1, 3, 0, 2]",0,4,0.000138
SA,7,4,"[2, 0, 3, 1]",0,65,0.000796
SA,8,4,"[2, 0, 3, 1]",0,15,0.000213
SA,9,4,"[2, 0, 3, 1]",0,56,0.000815
SA,10,4,"[1, 3, 0, 2]",0,83,0.000958
SA,11,4,"[1, 3, 0, 2]",0,110,0.001260
SA,12,4,"[2, 0, 3, 1]",0,48,0.000572
SA,13,4,"[2, 0, 3, 1]",0,8,0.000134
SA,14,4,"[2, 0, 3, 1]",0,18,0.000240
SA,15,4,"[1, 3, 0, 2]",0,81,0.000936
SA,16,4,"[2, 0, 3, 1]",0,71,0.000815
SA,17,4,"[1, 3, 0, 2]",0,26,0.000344
SA,18,4,"[1, 3, 0, 2]",0,65,0.000768
SA,19,4,"[1, 3, 0, 2]",0,57,0.001053
SA,20,4,"[1, 3, 0, 2]",0,1,0.000049
SA,21,4,"[1, 3, 0, 2]",0,2,0.000074
SA,22,4,"[1, 3, 0, 2]",0,98,0.001052
SA,23,4,"[2, 0, 3, 1]",0,15,0.000227
SA,24,4,"[1, 3, 0, 2]",0,70,0.000749
SA,25,4,"[2, 0, 3, 1]",0,21,0.000251
SA,26,4,"[1, 3, 0, 2]",0,42,0.000465
SA,27,4,"[1, 3, 0, 2]",0,71,0.000763
SA,28,4,"[1, 3, 0, 2]",0,17,0.000229
SA,29,4,"[1, 3, 0, 2]",0,53,0.000572
SA,30,4,"[1, 3, 0, 2]",0,87,0.000944
SA,1,8,"[0, 2, 5, 1, 4, 7, 0, 6]",2,153,0.002426
SA,2,8,"[7, 1, 6, 0, 2, 4, 7, 3]",1,153,0.002336
SA,3,8,"[5, 3, 0, 4, 7, 1, 6, 2]",0,122,0.001879
SA,4,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,110,0.001693
SA,5,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,123,0.001864
SA,6,8,"[3, 5, 0, 2, 4, 6, 1, 7]",1,153,0.002622
SA,7,8,"[2, 6, 6, 3, 0, 4, 7, 5]",1,153,0.002303
SA,8,8,"[3, 5, 2, 4, 1, 7, 2, 6]",1,153,0.002347
SA,9,8,"[5, 2, 0, 6, 3, 7, 4, 1]",1,153,0.002925
SA,10,8,"[3, 0, 4, 1, 1, 6, 2, 7]",1,153,0.002410
SA,11,8,"[0, 4, 6, 0, 5, 7, 1, 3]",1,153,0.002484
SA,12,8,"[4, 4, 7, 0, 6, 3, 5, 1]",2,153,0.002334
SA,13,8,"[6, 3, 0, 4, 1, 5, 2, 6]",1,153,0.002304
SA,14,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,19,0.000327
SA,15,8,"[5, 7, 1, 4, 2, 0, 6, 3]",1,153,0.002342
SA,16,8,"[3, 5, 7, 1, 6, 6, 2, 0]",1,153,0.002363
SA,17,8,"[3, 7, 4, 1, 5, 2, 6, 3]",1,153,0.002400
SA,18,8,"[2, 6, 6, 0, 5, 1, 4, 7]",1,153,0.002420
SA,19,8,"[5, 0, 2, 6, 2, 7, 1, 4]",1,153,0.002306
SA,20,8,"[0, 3, 6, 4, 7, 1, 4, 2]",1,153,0.002290
SA,21,8,"[4, 2, 0, 5, 7, 1, 3, 6]",0,140,0.002120
SA,22,8,"[1, 7, 4, 6, 0, 2, 5, 3]",1,153,0.002329
SA,23,8,"[2, 5, 1, 4, 7, 0, 6, 3]",0,46,0.000737
SA,24,8,"[7, 0, 3, 6, 1, 5, 2, 5]",2,153,0.002287
SA,25,8,"[3, 1, 7, 2, 6, 3, 0, 4]",1,153,0.002312
SA,26,8,"[4, 6, 1, 3, 5, 7, 2, 0]",1,153,0.002385
SA,27,8,"[2, 4, 7, 1, 3, 6, 0, 5]",1,153,0.002319
SA,28,8,"[1, 6, 3, 0, 4, 7, 5, 2]",1,153,0.002307
SA,29,8,"[3, 7, 4, 1, 5, 0, 6, 0]",1,153,0.002326
SA,30,8,"[7, 4, 2, 0, 5, 1, 0, 6]",2,153,0.002411
SA,1,10,"[3, 7, 9, 5, 2, 0, 6, 8, 1, 5]",2,153,0.002630
SA,2,10,"[3, 5, 7, 9, 6, 4, 1, 8, 5, 2]",2,153,0.002648
SA,3,10,"[7, 0, 3, 5, 9, 1, 9, 4, 6, 1]",2,153,0.003204
SA,4,10,"[4, 8, 0, 7, 9, 2, 6, 1, 7, 5]",2,153,0.002688
SA,5,10,"[4, 2, 0, 8, 6, 2, 9, 7, 1, 3]",1,153,0.003099
SA,6,10,"[0, 3, 1, 9, 5, 8, 2, 4, 6, 1]",1,153,0.002963
SA,7,10,"[7, 0, 3, 9, 5, 9, 2, 4, 8, 1]",2,153,0.003194
SA,8,10,"[3, 1, 9, 2, 5, 7, 0, 3, 6, 6]",2,153,0.003615
SA,9,10,"[6, 0, 2, 5, 8, 8, 4, 2, 9, 6]",3,153,0.003835
SA,10,10,"[9, 4, 2, 5, 8, 1, 7, 0, 6, 3]",1,153,0.003025
SA,11,10,"[5, 7, 3, 1, 6, 9, 0, 0, 8, 4]",2,153,0.002970
SA,12,10,"[0, 3, 7, 4, 1, 9, 2, 5, 3, 8]",1,153,0.002878
SA,13,10,"[0, 4, 7, 9, 2, 6, 1, 3, 5, 8]",0,57,0.001030
SA,14,10,"[8, 1, 2, 6, 3, 7, 0, 4, 9, 5]",1,153,0.002597
SA,15,10,"[9, 6, 8, 0, 4, 8, 0, 5, 7, 2]",2,153,0.003321
SA,16,10,"[0, 5, 3, 8, 3, 7, 9, 1, 6, 4]",1,153,0.002744
SA,17,10,"[5, 8, 4, 3, 0, 9, 1, 5, 7, 2]",2,153,0.002825
SA,18,10,"[5, 0, 4, 9, 7, 2, 2, 8, 3, 1]",2,153,0.002637
SA,19,10,"[7, 1, 3, 8, 0, 4, 8, 5, 2, 6]",1,153,0.002646
SA,20,10,"[3, 7, 9, 4, 2, 0, 8, 6, 1, 5]",1,153,0.007015
SA,21,10,"[6, 1, 6, 8, 7, 2, 7, 9, 4, 0]",3,153,0.004494
SA,22,10,"[0, 2, 8, 5, 7, 1, 3, 9, 6, 4]",1,153,0.002774
SA,23,10,"[8, 4, 1, 9, 0, 6, 1, 3, 5, 7]",2,153,0.002695
SA,24,10,"[7, 0, 2, 8, 6, 9, 2, 5, 1, 4]",1,153,0.002918
SA,25,10,"[6, 9, 2, 5, 8, 3, 7, 4, 1, 8]",2,153,0.002663
SA,26,10,"[0, 6, 9, 5, 2, 0, 7, 3, 1, 8]",1,153,0.003322
SA,27,10,"[2, 0, 5, 9, 8, 1, 4, 1, 3, 6]",2,153,0.003227
SA,28,10,"[7, 4, 6, 0, 5, 1, 5, 9, 2, 3]",2,153,0.004995
SA,29,10,"[5, 9, 4, 1, 7, 2, 8, 6, 0, 9]",2,153,0.004564
SA,30,10,"[1, 5, 0, 8, 6, 0, 3, 7, 4, 9]",2,153,0.005622
